Titulo,Check,IMDBid,Nota,Votos,Elenco,Gênero,Duração,Reviews,Ano,Data de estréia,Roteiristas,Censura,País,Idiomas,Episodios
Ratched,tv series,7423538,7.3,47701.0,"Sarah Paulson, Finn Wittrock, Cynthia Nixon, Judy Davis, Jon Jon Briones, Charlie Carver, Sharon Stone, Amanda Plummer, Alice Englert, Vincent D'Onofrio, Jermaine Williams, Brandon Flynn, Alfred Rubin Thompson, Sophie Okonedo, Corey Stoll, Annie Starke, Michael Benjamin Washington, Liz Femi, Teo Briones, Diana Tanaka, Carie Kawa, Rosanna Arquette, Joseph Marcell, Hunter Parrish, Harriet Sansom Harris, Robert Curtis Brown, Casey James Knight, Greg Winter, Germain Arroyo, Siaka Massaquoi, Dan Thiel, Julia Best Warner, Benjamin Rigby, Fred Maske, Kerry Knuppe, Gunnar Anderson, Isabelle JoLynn Murphy, David Wells, Elise Robertson, Wyatt De Britto, Ben Crowley, William Charlton, John Deignan, Jf Davis, Warren Sweeney, Emily Mest, Daniel di Tomasso, Daniel Hagen, Harper Cullen, Khanda Byambadorj","Crime, Drama, Mystery, Thriller",NA,25.0,2020.0,2020-09-18,"Ken Kesey, Ken Kesey, Ryan Murphy","Argentina:16, Australia:MA15+, Brazil:18, Canada:TV-MA::(self-applied), France:16, Germany:16::(self-applied), India:18::(self-applied), Italy:VM14::(self-applied), Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, Philippines:18+::(self-applied), Poland:16::(self-applied), Singapore:R21, South Korea:18, Spain:16, Sweden:16+::(self-applied), Turkey:18+, United Kingdom:18, United States:TV-MA",United States,English,8.0
Bloodline,tv series,3520702,7.9,47690.0,"Kyle Chandler, Linda Cardellini, Norbert Leo Butz, Jacinda Barrett, Jamie McShane, Sissy Spacek, Katie Finneran, Enrique Murciano, Ben Mendelsohn, Chloë Sevigny, Taylor Rouviere, Owen Teague, John Leguizamo, Brandon Larracuente, David Zayas, Beau Bridges, Glenn Morshower, Michael Beasley, Bill Kelly, Zachary T. Robbins, Andrea Riseborough, Steven Pasquale, Julie Claire, Hani Avital, Yul Vazquez, Sam Shepard, Frank Hoyt Taylor, Eliezer Castro, Angela Winiewicz, Tony Demil, Vivian Ruiz, Gino Vento, Jeremy Palko, Randy Gonzalez, Sarah French, Ivo Lopez, Christopher D Richert, Mario Van Peebles, Paul Tei, Charlie Prince, Indigo, Jill Jane Clements, Vivian Fleming-Alvarez, Chris Marazzo, Tyler Cravens, Jim R. Coleman, Eduardo Ibarrola, Justin Kucsulain, Ethan Henry, Mia Kirshner","Drama, Thriller",60,25.0,2015.0,2015-02-09,"Glenn Kessler, Glenn Kessler, Glenn Kessler","Argentina:16, Australia:MA15+, Brazil:14::(self-applied), Canada:TV-MA::(self-applied), France:16, Germany:16, India:18::(self-applied), Ireland:15, Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, New Zealand:R13::(some episodes), New Zealand:R16::(some episodes), Philippines:18+::(self-applied), Poland:16::(self-applied), Singapore:M18, South Korea:18, Spain:16, Sweden:16+::(self-applied), United Kingdom:15, United States:TV-MA",United States,English,13.0
Zero,tv series,10619486,5.7,1153.0,"Giuseppe Dave Seke, Haroun Fall, Beatrice Grannò, Dylan Magon, Daniela Scattolin, Madior Fall, Virginia Diop, Miguel Gobbo Diaz, Susanna Acchiardi, Roberta Mattei, Giordano De Plano, Serena de Ferrari, Alex Van Damme, Frank Crudele, Rufin Doh Zeyenouin, Elisa Wong, Stefano Taza, Ashai Lombardo, Maria De Sousa, Chiara Degani, Simone Di Scioscio, Greta Hernandez Felipe, Livio Kone, Amadou Niang, Roberta Rovelli, Thierry Toscan, Alberto Basaluzzo, Fabiola Di Gianfilippo, Eleonora Conti, Leonardo Sbragia, Giulia Innocenti, Giovanni Crozza Signoris, Francesco Gabbrielli, Armando Quaranta, Christoph Hülsen, Giuseppe Scognamiglio, Leo Spina, Lucia Lisboa, Federica Torchetti","Action, Comedy, Drama, Fantasy, Sci-Fi",27,25.0,2021.0,2021-04-21,"Carolina Cavalli, Carolina Cavalli, Antonio Dikele Distefano","Australia:M::(self-applied), Brazil:14::(self-applied), Canada:TV-MA::(self-applied), France:13::(self-applied), Germany:12::(self-applied), India:18::(self-applied), Italy:T::(self-applied), Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Philippines:18+::(self-applied), Singapore:NC16, South Korea:Youth not allowed::(self-applied), Spain:12, Turkey:18+::(self-applied), United Kingdom:16, United States:TV-MA::(self-applied)",Italy,Italian,8.0
Always a Witch,tv series,8001250,6.3,2288.0,"Sofía Araujo Mejía, Angely Gaviria, Sofía Araújo, Dylan Fuentes, Dubán Andrés Prado, Sebastian Eslava, Valeria Emiliani, Carlos Quintero, Lenard Vanderaa, Luis Fernando Hoyos, Verónica Orozco, Óscar Casas, Laura Archbold, Sebastian Osorio, Mayra Luna, Valery Altamar, Ariana Raygoza, Junior González, Alejandra Villafañe, Cristina Warner, Joao Agredo, Biassini Segura, Juan Manuel Mendoza, Constanza Duque, Felix Mercado, Edu Martín, Jackie Osorio, Diana Ángel, Marcela Vanegas, Manuel Navarro, Alejandro Gutiérrez, Pedro Gilmore, Víctor Gómez, Norma Nivia, Nelson Camayo, Paula Galindo, Jaisson Jeack, Adrian Marquez, Rami Herrera, Eduardo López, Josefina Cruz, John Alex Castillo, Milla Villamizar, Jose Luis García, Jaime Arbelaez, José Robayo, Hibened Carreño, Alejandra Lara, Antonio Cantillo, Víctor Navarro","Drama, Fantasy",40,25.0,2019.0,2019-02-01,"Diego Vivanco, Isidora Chacon, Ana María Parra","Australia:M::(Netflix self-rating), Brazil:16, France:13::(self-applied), Germany:12::(self-applied), India:16::(self-applied), Italy:VM14, Mexico:TV-14::(self-applied), Netherlands:12, Philippines:16+::(self-applied), Singapore:PG13, South Korea:15, Spain:13, Sweden:13+::(self-applied), Turkey:16+::(self-applied), United States:TV-14",Colombia,Spanish,11.0
The Ranch,tv series,4998212,7.5,35950.0,"Ashton Kutcher, Sam Elliott, Grady Lee Richmond, Elisha Cuthbert, Debra Winger, Danny Masterson, Megyn Price, Kathy Baker, Laura Vallejo, Kelli Goss, Barry Corbin, Dax Shepard, Susan Blas, Wendie Malick, Justin Mooney, Ethan Suplee, Martin Mull, Jim Beaver, Debra Jo Rupp, Josh Burrow, Bret Harrison, Blair Truth, Chasty Ballesteros, Sharon Lawrence, Maggie Lawson, Scott Gibbs, Kurtwood Smith, Dawan Owens, Travis Case, Conchata Ferrell, Molly McCook, Wilmer Valderrama, John Amos, Casey Sander, Aimee Teegarden, Kevin Hawley, Lou Diamond Phillips, Stephen Saux, Jon Cryer, Lindsey Kraft, Kelen Coleman, Allegra Clark, Jim Marshall, Nick Searcy, Keith Ferguson, Van Epperson, Cody Eby, Melissa Cook, Harvey B. Jackson, Rex Linn","Comedy, Drama, Western",30,25.0,2016.0,2016-04-01,"Jim Patterson, Jim Patterson, Jim Patterson","Argentina:16, Australia:M, Brazil:14, Brazil:14::(self-applied), Canada:TV-MA::(self-applied), France:13, Germany:6, India:18+::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Norway:7::(Netflix self-rating), Philippines:16+::(self-applied), Singapore:NC16, South Korea:18, Spain:7, Sweden:13::(self-applied), Turkey:16+::(self-applied), United Kingdom:15, United States:TV-MA",United States,English,20.0
The School Nurse Files,tv series,12879522,6.5,993.0,"Yu-mi Jung, Nam Joo-Hyuk, Shim Dal Gi, Ju-Young Lee, Dylan J. Locke, Park Hae-Eun, Park Se-Jin, Lee Suk-Hyeong, Hyun Woo-Seok, Joo Yeon-Woo, Jenny Yokobori, Kwon Young-Chan, Ewan Chung, Jeon Gook-hwan, Edward Hong, Lee Hyo-Bi, Lee Jong-Won, Jang Joon-Hyun, Ki-Cheon Kim, Jaeun Koo, Kyung-Hwa Oh, Nak-Kyeong Seong, Moon So-ri, Teo Yoo, Go Yoon-Jung","Comedy, Drama, Fantasy",51,25.0,2020.0,2020-09-25,"Serang Chung, Kyoung-mi Lee","Australia:M, Brazil:14::(self-applied), Canada:TV-MA::(self-applied), France:13::(self-applied), Germany:12::(internet), India:13::(self-applied), Italy:T::(self-applied), Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Singapore:M18, South Korea:15, Spain:13, Turkey:13+::(self-applied), United Kingdom:15, United States:TV-MA::(self-applied)",South Korea,Korean,6.0
Family Business,tv series,10423460,7.4,3303.0,"Jonathan Cohen, Gérard Darmon, Julia Piaton, Liliane Rovère, Olivier Rosemberg, Ali Marhyar, Louise Coldefy, Tamar Baruch, Lina El Arabi, Philippe Bertin, Enrico Macias, Ariane Mourier, Oussama Kheddam, Sophie-Marie Larrouy, Martin Pautard, Philippe Dusseau, Naël Rabia, Dan Herzberg, Jacques Bouanich, Majida Ghomari, Djamel Touidjine, Victor Haim, Chihiro Niuya, William Gotesman, Lou Labussiere, Baskar Mahendran, Philippe Agède, Romain Fleury, Toma Robinot, Valentine Feau, Jean-Luc Porraz, Léo Guillaume, Laurent Crozet, Antoine Cholet, Brigitte Barilley, Michaël Perez, Ronan Letourneur, Ary Gabison, Toni Hristov, Odile Vanhoutte, Maximilien Roussel, Marie-Laurence Tartas, Jean-Louis Garçon, Guus Dam, Duncan Meijering, Ildiko Flipse, Louis Vasquez, Valérie Damidot, Florence Gotesman, Vincent Nemeth",Comedy,NA,25.0,2019.0,2019-06-28,"Jonathan Cohen, Shane Gotcher, Igor Gotesman","Argentina:16, Australia:MA15+, Brazil:14::(self-applied), Canada:TV-MA::(self-applied), France:13::(self-applied), Germany:12::(internet), Greece:K-16::(Netflix self-rating), India:18::(self-applied), Indonesia:18+, Italy:VM14::(self-applied), Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, Poland:16::(self-applied), Singapore:R21, South Korea:18, Spain:13, Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA::(self-applied), United Arab Emirates:18+::(self-applied)",France,French,6.0
Monarca,tv series,8655736,7.9,2973.0,"Irene Azuela, Juan Manuel Bernal, Osvaldo Benavides, Regina Pavón, Carla Adell, Rosa María Bianchi, Dali González, Gabriela de la Garza, James Hyde, Alejandro de Hoyos Parera, José Manuel Rincón, Sophie Gómez, Daniel Ducoing, Eduardo Cortejosa, Mabel Cadena, Ramón Medína, Antonio de la Vega, Daniela Schmidt, Marco Zetina, Luis Rábago, Alejandro de la Madrid, Norma Reyna, Fernanda Castillo, Marcus Ornellas, Mario Loría, Rodrigo Oviedo, Javier Díaz Dueñas, Ana Laura Espinosa, Adrián Herrera, Alejandro González, Azul Villarreal, David Rencoret, Aldo Gallardo, Ricardo Reynaud, Francisco Calvillo, José Ramón Berganza, Palafox, Ana Paola Marín, Alonso Gálvez, Fernando Banda, Gabriela Bermúdez, Hugo Albores, Jorge Navarro, Paola Medina, Angel Encizo, Juan Carlos Colombo, Alfredo Huereca, Mario Escalante, Emilio Delgado, Juan José Pucheta",Drama,43,25.0,2019.0,2019-09-13,"Diego Gutierrez, Diego Gutierrez, Diego Gutierrez","Australia:MA15+, Brazil:16::(self-applied), France:16, Germany:16::(self-applied), India:18::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Singapore:M18, South Korea:18, Spain:16, Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA",Mexico,Spanish,10.0
Chambers,tv series,7949204,6.5,8044.0,"Sivan Alyra Rose, Marcus LaVoi, Nicholas Galitzine, Kyanna Simone, Griffin Powell-Arcand, Lilli Kay, Sarah Mezzanotte, Tony Goldwyn, Uma Thurman, Lilliya Scarlett Reid, Lili Taylor, Jonny Rios, Matthew Rauch, J. Nathan Simmons, Michael Stahl-David, Khan Baykal, Teddy Eggleston, Joseph Morris, Patrice Johnson, Richard Ray Whitman, Charles Malik Whitfield, Don Harvey, Augusta Allen-Jones, Lonnie Lane, Carrie Lazar, Trina E. Siopy, Matt Page, Marie Wagenman, Hayes Hargrove, Kumiko Konishi, Riley Carson Lewis, Peter Diseth, Victoria Walker, Ammie Masterson, Lonnie James Lane, Gonzalo Robles, Morningstar Angeline, Bekah Jung, Rodney A. James II, David Midthunder, Beth Bailey, Monika Crowfoot, Landon Cochran, Sara Anne, Monique Candelaria, Jose Miguel Vasquez, Nicholas R. Doyle, Jeremaya Roybal, Carlos Beserra, Keith Jardine","Drama, Fantasy, Horror, Mystery, Thriller",60,25.0,2019.0,2019-04-26,"Charmaine De Grate, Charmaine De Grate, Jason Gavin","Brazil:16::(self-applied), France:16, Germany:16::(self-applied), India:18::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Netherlands:16, Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Singapore:M18, South Korea:18, Spain:16, Turkey:18+::(self-applied), United Kingdom:18, United States:TV-MA",United States,English,10.0
The OA,tv series,4635282,7.8,97367.0,"Brit Marling, Emory Cohen, Patrick Gibson, Jason Isaacs, Ian Alexander, Phyllis Smith, Brendan Meyer, Brandon Perea, Will Brill, Sharon Van Etten, Scott Wilson, Alice Krige, Paz Vega, Kingsley Ben-Adir, Chloë Levine, Riz Ahmed, Robert Eli, Vincent Kartheiser, Zoey Todorovsky, Marcus Choi, Nikolai Nikolaeff, Zendaya, Irène Jacob, Bria Vinaite, Hélène Patarot, Théodore Pellerin, Robert Morgan, Alex Fernandez, Amelia Campbell, Tony Mirrcandani, Shuler Hensley, Hiam Abbass, Hettienne Park, Liz Carr, Zoe Chao, Juan Castano, Myk Watford, Van Brunelle, Ryan Homchick, Cynthia Mace, Ludwig Manukian, Melanie Ehrlich, Ego Mikitas, Valeri Mudek, Harold Cannon, Emily Berry, Dalton Harrod, Chris McCarrell, Victor Slezak, Lisseth Chavez","Drama, Fantasy, Mystery, Sci-Fi",60,25.0,2016.0,2016-12-16,"Zal Batmanglij, Zal Batmanglij, Brit Marling","Argentina:16, Australia:MA15+, Brazil:16, Canada:TV-MA::(self-applied), France:16, Germany:16::(self-applied), India:A, Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, Norway:16::(Netflix self-rating), Poland:16::(self-applied), Singapore:NC16::(season 1), Singapore:M18::(series level), South Korea:18, Spain:16, Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA, United Arab Emirates:18+::(self-applied)",United States,English,8.0
#BlackAF,tv series,10311562,6.7,4423.0,"Rashida Jones, Kenya Barris, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers, Richard Whitney Gardenhire Jr., Gil Ozeri, Bumper Robinson, Nia Long, Angela Kinsey, Andrea Ellsworth, Doug Hall, Jonathan Groff, Nelson Franklin, Emily G. Miller, Tae Heckard, Monica Estrada, Bresha Webb, Jay Rock, Knowledge Bennett, Steven Levitan, Mackwop, Ava DuVernay, Catherine Reitman, Paul Bartholomew, Joel Marsh, Sevak Hakoyan, Issa Rae, Abigail Zoe Lewis, Scooter Braun, Cathy Kelley, Jeff Pridgen, Lakota Johnson, Carlos Frias, Troy Garity, Brandon Ruiter, Isabelle JoLynn Murphy, Maurice Williams, Taialofa, Kj Smith, Laura Patalano, Viliame Tawanakoro, Chase Johnson, Brittany Daniel, Kym Whitley, Madison Shamoun, Ambyr Michelle, Ateca Ravuvu",Comedy,36,25.0,2020.0,2020-04-17,"Kenya Barris, Kenya Barris, Esa Lewis","Argentina:16, Australia:M, Brazil:16::(self-applied), France:13::(self-applied), Germany:12::(internet), India:16::(self-applied), Singapore:NC16, South Korea:18, Sweden:13::(self-applied), Turkey:16+::(self-applied), United Kingdom:Teen::(self-applied), United States:TV-MA::(self-applied)",United States,NA,8.0
Love & Anarchy,tv series,10888876,7.4,7278.0,"Ida Engvoll, Björn Mosten, Carla Sehn, Reine Brynolfsson, Gizem Erdogan, Björn Kjellman, Jenny Ponce, Sophia Hamberg, Tobias Lindqvist, Sanna Beausang, Ulrika Teilus, Gunnar Hosch, Saman Shad, Fredrik Ekman, Desirée Ehn, Melissa Greenspan, Ren Hanami, Johannes Kuhnke, Sean Bloch, Ruben Lopez, Elsa Agemalm Reiland, Lars Väringer, Benjamin Shaps, Ejke Blomberg, Yasmine Garbi, Lisette Pagler, Jessica Shaikh, Ludde Hagberg, Stefan Lindberg, Disa Östrand, Bengt C.W. Carlsson, Nova Waldfogel, Mira Eklund, Olivia Castanho, Karin Bertling, Malin Levanon, Akar Karami, Suzanne Ernrup, Lena Endre, Johan Jonason, Camilla Läckberg, Ala Riani, Fredrik Hammar, Joel Valois, Lisa Langseth, David Lagercrantz, Fredrik Silbersky, Olle Knape, Pontus Djanaieff, Polly Stjärne","Comedy, Drama, Romance",30,25.0,2020.0,2020-11-04,"Alex Haridi, Alex Haridi, Lisa Langseth","Argentina:16, Australia:MA15+, Brazil:16::(self-applied), Canada:TV-MA::(self-applied), France:13::(self-applied), Germany:12, Germany:12::(self-applied), India:18::(self-applied), Italy:VM14::(self-applied), Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Philippines:18+::(self-applied), Singapore:R21, South Korea:18, Spain:13, Sweden:13::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA::(self-applied)",Sweden,Swedish,8.0
Bridgerton,tv series,8740790,7.3,90558.0,"Jonathan Bailey, Harriet Cains, Bessie Carter, Nicola Coughlan, Phoebe Dynevor, Ruth Gemmell, Florence Hunt, Claudia Jessie, Luke Newton, Luke Thompson, Will Tilston, Polly Walker, Ruby Barker, Ben Miller, Adjoa Andoh, Regé-Jean Page, Julie Andrews, Golda Rosheuvel, Molly McGlynn, Joanna Bobin, Kathryn Drysdale, Jason Barnett, Hugh Sachs, Jessica Madsen, Lorraine Ashbourne, Sabrina Bartlett, Martins Imhangbe, Julian Ovenden, Joanne Henry, Emma Naomi, Geraldine Alexander, Simon Ludders, Ray MacAllan, Freddie Stroma, Ned Porteous, Joseph Macnab, Sandra Teles, Naomi Preston-Low, Ruby Stokes, Eric Tiede, Anand Desai-Barochia, Jamie Beamish, James Fleet, Amy Beth Hayes, Tom Lorcan, Emma Beattie, Lorn Macdonald, Nathan Vidal, Rob Kendrick, Nikkita Chadha","Drama, Romance",60,25.0,2020.0,2020-12-25,"Chris Van Dusen, Chris Van Dusen, Chris Van Dusen","Argentina:16, Australia:MA15+, Brazil:16::(self-applied), Canada:TV-MA::(self-applied), France:16, Germany:16::(self-applied), India:18::(self-applied), Indonesia:18+::(self-applied), Italy:VM14::(self-applied), Japan:R15+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Poland:12, Singapore:R21, South Korea:18, Spain:16, Sweden:16+, Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA, United Arab Emirates:18+::(self-applied), Vietnam:C18",United States,English,8.0
Alice in Borderland,tv series,10795658,7.7,37874.0,"Kento Yamazaki, Tao Tsuchiya, Keita Machida, Yûki Morinaga, Nijirô Murakami, Shô Aoyagi, Yûtarô Watanabe, Nobuaki Kaneko, Ayame Misaki, Aya Asahina, Riisa Naka, Ayaka Miyoshi, Dôri Sakurada, Mizuki Yoshida, Shuntarô Yanagi, Tsuyoshi Abe, Kina Yazaki, Reiko Kataoka, Yûya Matsuura, Shigemitsu Ogi, Yusuke Hirayama, Kazuma Yamane, Kazuma Sano, Takashi Kitadai, Kanon Hanakage, Tamura Kyotaro, Momoka Ayukawa, Yukina Fukushima, Ayu Higashi, Aya Kitai, Shôhei Abe, Kosuke Kubota, Nanako Ôde, Minehiro Kinomoto, Mizuki Komatsu, Yûhei Ohuchida, Mizuki Sashide, Shûichirô Masuda, Kento Shibuya, Kenkichi Watanabe, Shunta Ito, Yûki Itô, Kôhei Watanabe, Yuki Tayama, Ippei Ôsako, Hirota Otsuka","Action, Fantasy, Mystery, Sci-Fi, Thriller",50,25.0,2020.0,2020-12-10,"Yasuko Kuramitsu, Yasuko Kuramitsu, Shinsuke Sato","Argentina:16, Australia:MA15+, Brazil:16, Brazil:18::(self-applied), Canada:TV-MA::(self-applied), France:16, Germany:16::(self-applied), India:18::(self-applied), Indonesia:18+::(self-applied), Italy:VM14::(self-applied), Japan:R15+::(self-applied), Mexico:TV-MA::(self-applied), Norway:16::(Netflix self-rating), Philippines:R-18, Poland:16::(self-applied), Singapore:R21, South Korea:18, Spain:16, Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA::(self-applied), United Arab Emirates:18+::(self-applied), Vietnam:C18",Japan,"English, Japanese",8.0
The Defenders,tv mini series,4230076,7.3,96869.0,"Charlie Cox, Krysten Ritter, Mike Colter, Finn Jones, Elodie Yung, Jessica Henwick, Scott Glenn, Sigourney Weaver, Rosario Dawson, Wai Ching Ho, Elden Henson, Simone Missick, Yutaka Takeuchi, Eka Darville, Ramon Rodriguez, Rachael Taylor, Deborah Ann Woll, Babs Olusanmokun, Michelle Federer, Chloë Levine, J. Mallory McCree, Ron Simons, Debbi Morgan, Carrie-Anne Moss, Phil Nee, Michael G. Chin, Peter McRobbie, Zack Robidas, Rob Morgan, Michael Basile, Andrea Cirie, Brandon Morris, David Hilfstein, Zenzi Williams, Umit Celebi, Ayse Eldek, Emily Dorsch, Simon Feil, Amy Rutberg, Monica Wyche, Marko Zaror, Susan Varon, Gabe White, Alex Moggridge, Deborah Twiss, Nichole Yannetty, Shawn Allen McLaughlin, Kevin Kevin, Danny Doherty, Johnny Solo","Action, Adventure, Crime, Fantasy, Sci-Fi",50,25.0,2017.0,2017-07-22,"Brian Michael Bendis, Bill Everett, Michael Gaydos","Argentina:16, Australia:MA15+::(Netflix self-rating), Brazil:18, Russia:18+, Singapore:M18, South Korea:18, United Kingdom:15::(most episodes), United Kingdom:12::(some episodes), United States:TV-MA",United States,English,8.0
On My Block,tv series,7879820,8.0,14242.0,"Sierra Capri, Jason Genao, Brett Gray, Diego Tinoco, Jessica Marie Garcia, Julio Macias, Peggy Blow, Reggie Austin, Paula Garcés, Eme Ikwuakor, Eric Neil Gutierrez, Ronni Hawk, Ian Casselberry, Nikki Rodriguez, Raushanah Simmons, Jahking Guillory, Emilio Rivera, Rob Murat, Steve Louis Villegas, Joshua Armando Ticas, Andrea Cortés, Troy Leigh-Anne Johnson, Gilberto Ortiz, Brent Werzner, Ezekiel Pacheco, Lisa Marcos, Ada Luz Pla, Shoshana Bush, Nico Evers-Swindell, Danny Ramirez, Eddie Gonzalez, Angela Elayne Gibbs, Billie J Bradford, Layla Morales, Marcel Nahapetian, Jasmine Ashanti, Kellee Stewart, Cassidy Naber, Kaitlin Yamano, Benito Martinez, Sammie Ray, Dana Gaier, Kendre Berry, Meiyee Apple Tam, Mallory James Mahoney, Gloria Calderon Kellett, Conor Husting, Sydney Agudong, Ricardo Adam Zarate, Marlon Young","Comedy, Drama",30,25.0,2018.0,2018-03-16,"Eddie Gonzalez, Eddie Gonzalez, Jeremy Haft","Australia:M, Brazil:16::(self-applied), France:13::(self-applied), Germany:16::(self-applied), India:18::(self-applied), Indonesia:18+::(self-applied), Italy:T, Japan:PG-12, Malaysia:P13, Mexico:TV-14::(self-applied), Netherlands:16, Norway:12::(Netflix self-rating), Philippines:18+::(self-applied), Poland:13::(self-applied), Singapore:M18, South Korea:18, Spain:13, Sweden:13, Turkey:18+::(self-applied), United Kingdom:15, United States:TV-14, United Arab Emirates:18+::(self-applied)",United States,English,10.0
V-Wars,tv series,7403736,6.1,13086.0,"Ian Somerhalder, Adrian Holmes, Jacky Lai, Kyle Breitkopf, Kimberly-Sue Murray, Peter Outerbridge, Michael Greyeyes, Sydney Meyer, Laura Vandervoort, Samantha Cole, Teddy Moynihan, Jonathan Higgins, Nikki Reed, Greg Bryk, Ted Atherton, Anthony Grant, Laura de Carteret, Bo Martynowska, Sarah Abbott, Hardee T. Lineham, Morgan David Jones, Jonathan Koensgen, Benz Antoine, Alain Moussi, Kandyse McClure, Dylan Trowbridge, Emmanuel Kabongo, Jessica Harmon, Ian Matthews, Dempsey Bryk, Dan Duran, Wayne Ward, Heather Stevenson, David D'Lancy Wilson, Adam Tomlinson, Mackenzie Gray, Nigel Bennett, Brian Paul, Gordon Harper, Val Cole, Trish Rainone, Rachel Sellan, Gabriel Davenport, Joella Crichton, Raoul Bhaneja, Brittany Raymond, Kelly Lamb, Jonathan Tan, Kristin Shepherd, Taras Lavren","Drama, Horror, Sci-Fi",60,25.0,2019.0,2019-12-05,"Sam Beck, Philip Bedard, Charlie Cleven","Australia:MA15+, Brazil:16, Canada:TV-MA::(self-applied), France:16::(self-applied), Germany:16, India:18::(self-applied), Italy:VM14::(self-applied), Mexico:C::(self-applied), Netherlands:16, Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Singapore:R21, South Korea:18, Spain:16, Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:18, United States:TV-MA",United States,English,10.0
Julie and the Phantoms,tv series,10183988,8.5,8321.0,"Madison Reyes, Charlie Gillespie, Owen Joyner, Jeremy Shada, Jadah Marie, Sacha Carlson, Savannah Lee May, Carlos Ponce, Booboo Stewart, Sonny Bustamante, Justin Lopes, Mark Samuels, Mackenzie Green, Victoria Caro, Vicky Lambert, Amanda Cleghorn, Joe Tuliao, Cheyenne Jackson, Alison Araya, Marci T. House, Joel Sturrock, Melissa Mitro, James Hibbard, Jenny Dailey, Jayme Rae Dailey, Enola Bedard, Alyx Andrushuk, Daniela Erewa, Julien Naud, Reese Hatala, Taylor Hatala, Aysia Trinity Ianiero, Steve Bacic, Taylor Kare, Jennifer-Juniper Angeli, Guilherme Babilônia, Michael Ryan, Denise Jones, Kevin O'Grady, Jaron Melanson, Sofia Khachi, Halle Gall, Kyra Leroux, Audessa Parafina, Jordyn Bennett, Chanel Lacasse, Amna Elmahdi, Emily Wildeman, Tatiana Parker, Ana Wu","Adventure, Comedy, Drama, Family, Fantasy, Musical",NA,25.0,2020.0,2020-09-10,"Dan Cross, Dan Cross, Dan Cross","Argentina:Atp, Australia:PG, Brazil:Livre::(self-applied), Canada:TV-G::(self-applied), France:7, Germany:6::(internet), India:13::(self-applied), Indonesia:13+, Italy:T::(self-applied), Japan:G::(self-applied), Mexico:TV-G::(self-applied), Philippines:13+::(self-applied), Singapore:M18, South Korea:All, Spain:7, Sweden:7+::(self-applied), Turkey:13+::(self-applied), United Kingdom:PG, United States:TV-G::(self-applied)",United States,English,9.0
